ID	Target	Tweet	Veracity
15	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/oCmhAsUSUf	RUMOR
16	BostonBombings	An 8 year old boy who was cheering his dad died today in Boston. #heartbreak #hinews	RUMOR
17	BostonBombings	RT @HopeForBoston: R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http:	RUMOR
18	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/Sz8Kwv9bj2	RUMOR
19	BostonBombings	An 8 year old boy, Martin Richard, was killed at the Boston Marathon as he waited to give his father a hug at the finish line #prayforboston	RUMOR
20	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/XYUmDAAxTR	RUMOR
21	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids.  #prayforboston http://t.co/EkQ6DTs3db	RUMOR
22	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/RPEWvZULCW	RUMOR
23	BostonBombings	8 year-old killed at the explosion at the #BostonMarathon has been identified as Martin Richard. http://t.co/4Nqbh2d0jc via @JenelleS_KVUE	RUMOR
24	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/cEdmDu7EoO	RUMOR
25	BostonBombings	An 8 year old kid died while waiting for his dad to finish the race and to hug him. #prayforboston #bostonmarathonbombing	RUMOR
26	BostonBombings	Boy, 8, killed in Boston marathon blast was waiting to meet his dad when he finished #JuiceFM	RUMOR
27	BostonBombings	"Poor kid .. RT @ICE__Gang: #prayforboston An 8 year old kid died while waiting for his dad to finish the race and to hug him :""""""("	NON-RUMOR
28	BostonBombings	R.I.P. to 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. http://t.co/zDyC5VZwQO via @HopeForBoston	RUMOR
29	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. Tragic moment http://t.co/qzLfYs8piU	RUMOR
30	BostonBombings	8 yr old boy who went to receive his dad at finishing line in Boston killed by bomb. His little sisters limbs blown off via BBC	RUMOR
31	BostonBombings	R.I.P. to the 8 yr old boy who died in Boston's explosions, while running for the Sandy Hook kids. #PrayForBoston http://t.co/5Dav0lauxn	RUMOR
32	BostonBombings	@DanielleFacts: 8 yr old boy who died in Boston's explosions, running for the Sandy Hook kids. #PrayForBoston http://t.co/zGngVQCjsm FAKE	RUMOR
33	BostonBombings	Westboro BC vows to picket the funerals of those killed at Boston Marathon. @YourAnonNews responds immediately http://t.co/6gcc08sI5A	NON-RUMOR
34	BostonBombings	Westboro Baptist Church Plans To Picket Funerals Of Boston Marathon Victims http://t.co/oNMilfqKaI #OpWBC b/c @dearshirley is still	NON-RUMOR
35	BostonBombings	R.I.P. to the 8 year old girl who died in the Boston explosion while running for the Sandy Hook kids #prayforboston http://t.co/mg1Aob6TTZ	RUMOR
36	BostonBombings	R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/7rKs3A0OuV	RUMOR
37	BostonBombings	Westboro Baptist Church to picket funerals of victims of the Boston Marathon http://t.co/gk6p7nFKCy via @examinercom	NON-RUMOR
38	BostonBombings	An 8 year old girl died yesterday in the Boston bombing, she was running for sandy hook kids... What is humanity coming too. #PrayForBoston	RUMOR
39	BostonBombings	Professional trolls, the Westboro Baptist Church, have announced they'll be picketing the funerals of the 3 killed in the Boston attacks.	NON-RUMOR
40	BostonBombings	Suspected Boston bomber has the same rights as any American even though he's here on a student visa. There is something really wrong here...	NON-RUMOR
41	BostonBombings	Boston Globe reporting that the mom &amp; sister of the 8-yr-old boy killed, Martin Richard, are also badly injured. #Prayers	RUMOR
42	BostonBombings	Heartbreaking reports: 8 yo Martin Richard killed in Boston. Mom has brain injury, sister lost a leg. Dad was racing http://t.co/AoMYZTP1mR	RUMOR
43	BostonBombings	One 8-year Old kid was Dead during Boston Attack! He came to see his father run for the Marathon. Gaves his father a Hug &amp; Dies :(	RUMOR
44	BostonBombings	Mother of Martin Richard, 8 yr old boy killed in the blasts has a brain injury; boy's sister has lost a leg. #PrayForBoston	RUMOR
45	BostonBombings	RT @fuccyoudis2o9: R.I.P to the 8 year old girl who died in Boston's explosions, while running for Sandy Hook kids &gt;:/ #PrayForBoston...	RUMOR
46	BostonBombings	@lovebrittannny: R.I.P. to the 8 year-old girl who died in Boston's explosions while running for the Sandy Hook kids.http://t.co/BTt4MfncW3	RUMOR
47	BostonBombings	Boston- Martin Richard 8 killed at the Marathon, he loved sports. His Mom has a brain injury, sister lost a leg. http://t.co/LnYsbxju80	RUMOR
48	BostonBombings	Terror at the Boston Marathon http://t.co/96E4yCJt8E #photojournalism	NON-RUMOR
49	BostonBombings	What a horrifying tragedy, my gosh.... There are no words. #PrayForBoston :( :( :( :(	NON-RUMOR
50	BostonBombings	I offer my deepest condolences to the families of the victims in Boston  #Boston	NON-RUMOR
51	BostonBombings	Are we ever going to rise above all of this violence on our planet? #prayforboston #prayforpeace	NON-RUMOR
52	BostonBombings	"I got to know a lot of people in Boston when I was there Filming ""that's my boy""during the Stanley Cup finals. great city, great people,"	NON-RUMOR
53	BostonBombings	My thoughts are with everyone effected by today's tragedy in Boston. God Bless.	NON-RUMOR
54	BostonBombings	Before u all go 2 bed i really want 2 say huge THANK U! You made my 13th bday the best day ever! Reading all ur messages now! #PrayforBoston	NON-RUMOR
55	BostonBombings	Tonight, we all have Boston's back. #WeAreBoston http://t.co/2bI69vAN1H	NON-RUMOR
56	BostonBombings	I'm in Boston reporting for the Guardian. Can anyone help me reach #carlosarredondo to talk to him about his amazing act of bravery?	NON-RUMOR
57	BostonBombings	My thoughts are with everyone in Boston x	NON-RUMOR
58	BostonBombings	my heart hurts for all the sweet people injured in Boston today, and all I can do is pray and pray and pray and pray and pray some more.	NON-RUMOR
59	BostonBombings	@KerryWSB hope ur in bed!  #EarlyMorning #Boston #Prayers	NON-RUMOR
60	BostonBombings	Beautiful piece on the horrific tragedy.. http://t.co/eIdtMKocym	NON-RUMOR
61	BostonBombings	Sending love out to all our Twitter fam &amp; Boston fam once again - we love you guys so much	NON-RUMOR
62	BostonBombings	#prayforboston the world is so crazy these days.. #stopthecraziness #peace #love  Mikey	NON-RUMOR
63	BostonBombings	For Boston, and for hope. http://t.co/A4MimZbNDw	NON-RUMOR
64	BostonBombings	i love you BOSTON !!!&lt;33	NON-RUMOR
65	BostonBombings	My heart and prayers go out to Boston.	NON-RUMOR
66	BostonBombings	Praying for Boston tonight... and for all of the families in America.... http://t.co/2eSngrqIbe	NON-RUMOR
67	BostonBombings	Sending out love to #Boston - city of my birth.  You will be avenged.	NON-RUMOR
68	BostonBombings	Sending out prayers to everyone in Boston and our Blue Army. Deepest sympathies to those who lost family members n those with injuries.	NON-RUMOR
69	BostonBombings	#Boston I love you and I'm thinking of you.	NON-RUMOR
70	BostonBombings	Large police presence in Revere connected to Boston bombing http://t.co/GdqdelQ4jb #fox25	NON-RUMOR
71	BostonBombings	My heart goes out to the people of Boston today. Terrible terrible tragedy.	NON-RUMOR
72	BostonBombings	Two if by Sorrow: Boston and Its Losses http://t.co/PDSDiephEW	NON-RUMOR
73	BostonBombings	Im so sad for Boston.. I don't really know anyone that lives there.. but I'm just so sad	NON-RUMOR
74	BostonBombings	Thanx for the bday love. Much appreciated. Gracias por las felicidades. Muy agradecido. Especially in light of Boston tragedy. Prayers 4 all	NON-RUMOR
75	BostonBombings	My thoughts and prayers go out to all back in Boston.	NON-RUMOR
76	BostonBombings	No words can describe what I feel tonight for the city that I love. Goodnight #Boston.	NON-RUMOR
77	BostonBombings	This is seriously heartbreaking. #PrayForBoston http://t.co/gdi78zwuIg	NON-RUMOR
78	BostonBombings	I'm so saddened by what's happened in Boston. My thoughts and prayers go out to the victims and families affected. #prayforboston GN.	NON-RUMOR
79	BostonBombings	Only on radio for one hour tomorrow.  Will discuss Boston at 9am.  Center on Him and His work and the rest will come.  Amen and goodnight.	NON-RUMOR
80	BostonBombings	FBI takes charge of Boston Marathon investigation http://t.co/pqlIsZ9SKo	NON-RUMOR
81	BostonBombings	Boston needs our prayers. This make me so sad. http://t.co/6fYR4z8prl	NON-RUMOR
82	BostonBombings	2nd this. RT @richarddeitsch If you are a parent, you will appreciate what @SteveRushin wrote tonight about Boston: http://t.co/y27QKPlrJP 	NON-RUMOR
83	BostonBombings	Sending love to everyone in Boston right now  good night everyone	NON-RUMOR
84	BostonBombings	An evening of @WWE entertainment, overshadowed by an afternoon of horrible tragedy #PrayForBoston	NON-RUMOR
85	BostonBombings	This is so hard for me to read  #prayforboston  http://t.co/Doqnbl03Vs	NON-RUMOR
86	BostonBombings	President Obama offers cautious response to Boston bomb blasts | http://t.co/GtqyhoVjfp (via @TIMEPolitics)	NON-RUMOR
87	BostonBombings	#PrayForBoston everythings gonna be alright, we will be stronger	NON-RUMOR
88	BostonBombings	First edition of tomorrow morning's Boston Globe. http://t.co/mxll4akHC3	NON-RUMOR
89	BostonBombings	Pray for Boston. Pray for our Nation!	NON-RUMOR
90	BostonBombings	You've got to be an idiot to do anythig that makes the city of Boston mad at you. Boston, I salute you.	NON-RUMOR
91	BostonBombings	All my love for Boston in this hard time. Todo mi Amor a Boston en este tiempo tan duro.	NON-RUMOR
92	BostonBombings	Do Yo Azz Lk Dem HottBoyz Did Boston	NON-RUMOR
93	BostonBombings	My heart aches for the people of Boston.	NON-RUMOR
94	BostonBombings	amen RT @DomenicaMary: To Boston from Brooklyn with love http://t.co/DIeZK5dL4i	NON-RUMOR
95	BostonBombings	for sure...sent! RT @HeatherPort2012: @johncusack send some love out to Boston tonight :o(	NON-RUMOR
96	BostonBombings	My heart goes out to the people of Boston	NON-RUMOR
97	BostonBombings	Dear God, May the next person who wants to make a point do so by inspiring change instead of using violence.  #MyPrayerToday #PrayforBoston	NON-RUMOR
98	BostonBombings	RT @nxthompson: The Boston Globe slideshow is intense. http://t.co/heCbm8eKNf	NON-RUMOR
99	BostonBombings	My heart is breaking. #prayforboston http://t.co/vx3ph9LxLC	NON-RUMOR
100	BostonBombings	He lost his Girlfriend..#PrayForBoston, PRAY! http://t.co/ogEVlQftgq	NON-RUMOR
101	BostonBombings	Everyone should do this, retweet to spread the word! #prayforboston #BostonMarathon http://t.co/8MjXVhHsHw	NON-RUMOR
102	BostonBombings	Boston. I'm sending you ALL my love.	NON-RUMOR
103	BostonBombings	"I will DONATE $100 for EVERY pass I catch next season to whatever ""Boston Marathon Relief Fund"" there is. And $200 for any dropped pass."	NON-RUMOR
104	BostonBombings	my prayers are going out 2 all the victims and their families in boston #prayforboston	NON-RUMOR
105	BostonBombings	1st-year #Patriots WR @DannyAmendola pledges to donate $100 for each '13 reception to Boston Marathon Relief Fund &amp; $200 for each drop.	NON-RUMOR
106	BostonBombings	Love you #Boston. Goodnight.	NON-RUMOR
107	BostonBombings	Praying for everyone in #boston	NON-RUMOR
108	BostonBombings	Pray for Boston:(	NON-RUMOR
109	BostonBombings	Moments of silence for #Boston in Montreal: http://t.co/HzZ8R0Knb4 Nashville: http://t.co/YuRGT3ErJO Chicago: http://t.co/Ml5MbjztVY ..(1/2)	NON-RUMOR
110	BostonBombings	Makes me sick #prayforboston	NON-RUMOR
111	BostonBombings	My heart breaks for the families of the people who lost their lives today in Boston. My prayers go out to those who were injured.	NON-RUMOR
112	BostonBombings	My heartfelt condolences to my Boston people and to the families of the victims who were affected by this tragedy #Prayers	NON-RUMOR
113	BostonBombings	God Bless them. #prayforboston	NON-RUMOR
114	BostonBombings	Whoever did this to Boston :         FUCK YOU	NON-RUMOR
115	BostonBombings	My thoughts &amp; prayers go out to everyone in Boston. #prayforboston	NON-RUMOR
116	BostonBombings	Just watching the news about Boston  #prayforboston	NON-RUMOR
117	BostonBombings	PRAY FOR BOSTON. http://t.co/P8mvVCyJI2	NON-RUMOR
118	BostonBombings	PRAY FOR BOSTON. http://t.co/5JYRm1byIa	NON-RUMOR
119	BostonBombings	I ran the Boston Marathon &amp; remember crossing the finish line &amp; the thousands of people there.. Can't imagine the tragedy today. Prayers 617	NON-RUMOR
120	BostonBombings	The cowboy hat-wearing hero of the Boston bombings is a peace activist with an amazing and tragic history. http://t.co/9PhRi4ipbN	NON-RUMOR
121	BostonBombings	I can't go to sleep..my heart is so heavy for Boston..such sadness..I'm praying. #prayforBoston	NON-RUMOR
122	BostonBombings	MIM rejoice over Boston terror strike. Owaisi ally of Cong in Hyd municipal body. Secular enough for Sonia? And Nitish?	NON-RUMOR
123	BostonBombings	WTF?!? I skip Twitter pretty much all day and when I check in there's been a bombing in Boston?!?!? #WTF?!?!? #Shocked	NON-RUMOR
124	BostonBombings	Goodnight Boston. The world is watching. You will become stronger from this. I'm proud to have started http://t.co/NcIvStxO3B	NON-RUMOR
125	BostonBombings	The cowboy hat-wearing hero of the Boston bombings is a peace activist w/ an amazing and tragic history. http://t.co/6Qj8nlcc1Y via @Gawker	NON-RUMOR
126	BostonBombings	Pakistanis on twitter are usually not as upset about bombings in Pakistan as they are about Boston.	NON-RUMOR
127	BostonBombings	Heavenly Father, we know it is not your will to destroy, but you do have the power to heal and restore. We ask 4 compassion &amp; love 4 Boston.	NON-RUMOR
128	BostonBombings	A very sad day for all in Boston love and prayers go out to everyone involved. Safe travel home to our fellow Aussies. With Love	NON-RUMOR
129	BostonBombings	Disappointed about the loss tonight but its all about perspective. #prayforboston	NON-RUMOR
130	BostonBombings	Malaysian marathoner misses Boston bomb blast by 30 minutes http://t.co/vruwc4Jdpb	NON-RUMOR
131	BostonBombings	My love and prayers to the people of Boston  http://t.co/UOM48mht9s	NON-RUMOR
132	BostonBombings	this is so heartbreking im crying :( #prayforboston #bostonmarathon why does this happen in a world like this ? http://t.co/jSl4hLYmAL	NON-RUMOR
133	BostonBombings	Boston. We are all praying for you.	NON-RUMOR
134	BostonBombings	141 injured 3 dead includining an  8 year old boy,!!!!  In Boston,,!!!!!!! WHY,??????!!!!!!!! It's really fuked up,!!!!	NON-RUMOR
135	BostonBombings	"Harry deleted his ""ahhhhhh Monday"" tweet because he got hate for not tweeting anything about Boston (via @WW1DUpdater)"	NON-RUMOR
136	BostonBombings	Good night my beautiful PLL family.  We are all so lucky to have each other.  Sweet dreams.  And Boston.... We love you.	NON-RUMOR
137	BostonBombings	Arsenal Football Club would like to offer our deepest sympathy to those affected by the tragedy at the Boston Marathon	NON-RUMOR
138	BostonBombings	I cant believe what happened in Boston today I just cant believe it..	NON-RUMOR
139	BostonBombings	 BOSTON ! Made parts of 2 movies there ! Lovely, LIVELY PEOPLE 	NON-RUMOR
140	BostonBombings	this is devastating #prayforboston http://t.co/35I21CFqIH	NON-RUMOR
141	BostonBombings	what happened in boston????	NON-RUMOR
142	BostonBombings	What is the later news on Boston? :(	NON-RUMOR
143	BostonBombings	I can't imagine being in his place right now. #PrayForBoston http://t.co/WviiGRZsLD	NON-RUMOR
144	BostonBombings	Good thoughts to all in Boston. #BostonMarathon #keithharkin #sadtimes	NON-RUMOR
145	CharlieHebdo	At least five hostages in #Paris kosher supermarket: Source  http://t.co/s7CFUhNsSf	RUMOR
146	CharlieHebdo	Breaking: Armed man linked to Charlie Hebdo suspects takes hostages at kosher grocery store in east Paris  http://t.co/t1SKHe7p2y	RUMOR
147	CharlieHebdo	Update - AFP reports at least five people have been taken hostage and one person wounded after shooting at kosher grocery in eastern #Paris	RUMOR
148	CharlieHebdo	".10/ BREAKING: Another gunman takes at least 5 hostages in a ""Kosher"" grocery shop in eastern #Paris."	RUMOR
149	CharlieHebdo	MORE: At least 5 hostages are reported held by gunman in eastern Paris kosher grocery store http://t.co/cI8cztQjE6 http://t.co/sdCcVi7dcf	RUMOR
150	CharlieHebdo	Feared at least 5 hostages are being held in Paris 'kosher' grocery http://t.co/zoafNwyEtr http://t.co/ntDatZ8Pp7	RUMOR
151	CharlieHebdo	Gunman takes at least 5 people hostage at kosher supermarket in #Paris: Reports. News Flash: http://t.co/SSJu0xvBXX	RUMOR
152	CharlieHebdo	Now @AFP reporting at least 5 people have been taken hostage and 1 person wounded after shooting at kosher grocery in eastern #Paris.	RUMOR
153	CharlieHebdo	#BREAKING Gunman has taken hostages at kosher supermarket in eastern Paris, local official says http://t.co/7tGdSv4fr8	RUMOR
154	CharlieHebdo	Armed Man Takes 5 Hostages In Eastern Paris Kosher Grocery Store http://t.co/pPv043jxi1	RUMOR
155	CharlieHebdo	AFP reports an armed man has taken a hostage in a kosher grocery in #Paris	RUMOR
156	CharlieHebdo	At least five people have been taken hostage at the kosher grocery, reports say #ParisAttacks http://t.co/8MdsGYsaOZ http://t.co/2NtIkBmIYk	RUMOR
157	CharlieHebdo	"Cornered Charlie Hebdo attack suspects allegedly tell police they ""want to die as martyrs"" http://t.co/4exkNfEMkD http://t.co/tWcLeqmP30"	RUMOR
158	CharlieHebdo	Another gunman takes hostages (@AFP reports at least 5 people) in kosher grocery in Paris: http://t.co/mbirVJYKM1	RUMOR
159	CharlieHebdo	#BREAKING: Second standoff underway at Kosher grocery store at Porte de Vincennes in eastern Paris. Hostages inside. @myfoxla	RUMOR
160	CharlieHebdo	DEVELOPING: At least five hostages in Paris Kosher supermarket, AFP reports http://t.co/wWmsiH8EVt	RUMOR
161	CharlieHebdo	AFP reporting at least five hostages have been taken at kosher shop in Paris - live http://t.co/hRxscrV6yW #CharlieHebdo	RUMOR
162	CharlieHebdo	http://t.co/L65hlVb56Z Charlie Hebdo jihadis take hostages, say they want to die as martyrs	NON-RUMOR
163	CharlieHebdo	Report: Armed man takes hostage in kosher grocery near Paris  http://t.co/xaMb1herpb	RUMOR
164	CharlieHebdo	#UPDATE: At least five hostages in #Paris kosher supermarket http://t.co/edeaZa98sy  #Parisshooting	RUMOR
165	CharlieHebdo	At least 2 injured in new shootout in Eastern Paris / 5 hostages held in Kosher supermarket http://t.co/LdSF5QeCiv http://t.co/cmqBNfDpwd	RUMOR
166	CharlieHebdo	At least 2 injured in new shootout in Eastern Paris / 5 hostages held in Kosher supermarket http://t.co/OYSXRQ9xuv http://t.co/oi51nGj4RP	RUMOR
167	CharlieHebdo	MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded: http://t.co/5300zReVuq	RUMOR
168	CharlieHebdo	Terrorist takes 5 hostages at kosher grocery in Paris http://t.co/eHhVZZ1mIQ	RUMOR
169	CharlieHebdo	#BREAKING: Confirmed That Man armed w/ a Kalashnikov is in a Kosher deli in porte de Vincennes, Paris #CharlieHebdo http://t.co/PLYDC53zlO	RUMOR
170	CharlieHebdo	UPDATE: At least 2 injured in new shootout in Eastern Paris, 5 hostages held in Kosher supermarket @FRANCE24	RUMOR
171	CharlieHebdo	Awful news of another shooting, with hostages taken at a Jewish bakery in Paris. Same gunman who killed police officer yesterday.	RUMOR
172	CharlieHebdo	BREAKING: An armed man linked to Charlie Hebdo suspects has taken hostages at a kosher deli in eastern Paris: reports http://t.co/GlcolkRVQY	RUMOR
173	CharlieHebdo	NEWS: At least 5 people taken hostage and one person injured in another attack in Paris this afternoon &gt;&gt; http://t.co/WWTFGBZgVm	RUMOR
174	CharlieHebdo	"Oblige them RT @chicagotribune: Cornered Charlie Hebdo attack suspects allegedly tell police they ""want to die as martyrs"""	RUMOR
175	CharlieHebdo	"AFP: The person who shot the policewoman yesterday is ""connected"" to the assault on Charlie Hebdo, holding 5 hostage at Kosher grocerystore."	RUMOR
176	CharlieHebdo	Five people held hostage in grocery store in Eastern #Paris. Suspect believed to be responsible for killing of police officer yesterday.	RUMOR
177	CharlieHebdo	BREAKING NEWS: At lease five people taken hostage at a grocery store in Eastern #Paris.	RUMOR
178	CharlieHebdo	@michaelh992: 5 hostages are inside the supermarket in Porte de Vincennes all hostages women	RUMOR
179	CharlieHebdo	1 injured, 5 hostages taken in  shooting incident at kosher grocery store in eastern Paris http://t.co/egCzrahHxI	RUMOR
180	CharlieHebdo	Another siege as gunman takes hostages at a jewish supermarket in Eastern Paris	RUMOR
181	CharlieHebdo	Reports that the Jewish community in #France going in to lockdown. Shops, synagogues, schools etc. #ParisShooting #CharlieHebdo	NON-RUMOR
182	CharlieHebdo	Kosher restaurants closing across Paris. Schools nr latest incident locked down. #ParisAttacks http://t.co/8MdsGYsaOZ http://t.co/rObM6QtWIZ	NON-RUMOR
183	CharlieHebdo	RT @PhilWilliamsABC: Another siege as gunman takes hostages at a jewish supermarket in Eastern Paris	RUMOR
184	CharlieHebdo	In a separate standoff, gunman takes hostages inside kosher supermarket in eastern Paris. http://t.co/HExrkwxK2R	RUMOR
185	CharlieHebdo	After Charlie Hebdo: Armed man takes hostages in kosher grocery in Paris http://t.co/mGfYW575jJ	RUMOR
186	CharlieHebdo	#BREAKING At least two killed in hostage drama east of Paris: source	RUMOR
187	CharlieHebdo	A gunman took hostages in a kosher market at Porte de Vincennes in eastern central Paris on Friday: AP reports http://t.co/Xahc7N0q5k	RUMOR
188	CharlieHebdo	JUST IN: Police tell @ABC it's probable gunman in second Paris hostage situation is man who killed a policewoman yesterday - @WilliamsJon	RUMOR
189	CharlieHebdo	BREAKING UPDATE: AT LEAST TWO DEAD IN THE KOSHER SUPERMARKET HOSTAGE SITUATION  IN PARIS	RUMOR
190	CharlieHebdo	BREAKING:  At least two reportedly killed in hostage drama in Paris-area kosher synagogue http://t.co/PBs3sMwhLt	RUMOR
191	CharlieHebdo	#BREAKING At least two killed in hostage drama east of Paris: Source - AFP	RUMOR
192	CharlieHebdo	BREAKING: At least two killed in hostage drama east of Paris via AFP.	RUMOR
193	CharlieHebdo	#BREAKING - At least 2 dead in  hostage standoff in Paris Kosher supermarket (AFP) http://t.co/OYSXRQ9xuv http://t.co/SQUsZcitcO	RUMOR
194	CharlieHebdo	Update - AFP reports at least two people killed after shooting at kosher grocery in eastern #Paris in which at least five were taken hostage	RUMOR
195	CharlieHebdo	AFP reporting that two people have been killed in hostage situation in grocery store in eastern Paris. Unconfirmed. #ParisShooting	RUMOR
196	CharlieHebdo	At least 2 dead in  hostage standoff in Paris Kosher supermarket @AFP reports. #parisisburning #CharlieHebdo	RUMOR
197	CharlieHebdo	"#ISIS just claimed responsibility for #CharlieHebdo attack and announced more attacks. ""US &amp; UK are on the list for tomorrow."""	NON-RUMOR
198	CharlieHebdo	#BREAKING At least two killed in hostage drama east of Paris: source - AFP	RUMOR
199	CharlieHebdo	Reports that gunman in today's kosher market hostage sitn in #Paris is same #Islamic jihadist who killed policewoman yesterday. #breaking	RUMOR
200	CharlieHebdo	Armed man takes hostages in Porte de Vincennes kosher grocery store, eastern Paris - WATCH @Polly_Boiko's report http://t.co/Nk2Yf9gOjt	RUMOR
201	CharlieHebdo	AFP is reporting that at least two people have been killed in a hostage situation in eastern Paris.	RUMOR
202	CharlieHebdo	BREAKING: At least two dead in Paris Porte de Vincennes hostage taking, AFP reports http://t.co/PZlJi8Fd7c	RUMOR
203	CharlieHebdo	Cornered Charlie Hebdo Suspects 'Ready To Die As Martyrs' @TPM http://t.co/OFVejDq8re	RUMOR
204	CharlieHebdo	An 11-month old baby is among the hostages at the Kosher supermarket in Paris. Unbearably sad. http://t.co/yXXlHehst9	NON-RUMOR
205	CharlieHebdo	#Breaking: 2 people reported to have been killed in the developing hostage situation in Eastern #Paris. Via @AFP	RUMOR
206	CharlieHebdo	Breaking: At least two dead in hostage standoff in #ParisShooting http://t.co/Z26WjwfYiP  #CharlieHebdo	RUMOR
207	CharlieHebdo	DEVELOPING: Gunman takes hostages at kosher supermarket in Paris http://t.co/uPhNxdm4kp http://t.co/3bsUlTCRuV	RUMOR
208	CharlieHebdo	BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh	RUMOR
209	CharlieHebdo	DEVELOPING: 2 reported dead in second hostage situation at Paris grocery store http://t.co/F4K3C1lot7	RUMOR
210	CharlieHebdo	A terrorist has taken up to 5 hostages in a Jewish Kosher Grocery store in Paris.  News just out says that 2 of the hostages are now DEAD.	RUMOR
211	CharlieHebdo	Latest: an armed man has taken five hostages in a kosher supermarket in eastern Paris http://t.co/e7tFPrJtRQ (Getty) http://t.co/Ss6yfylcDa	RUMOR
212	CharlieHebdo	French police publishes photos of suspect in yesterday's Montrouge shooting. Maybe the same persons in Kosher market http://t.co/j5nQIl4Ytu	RUMOR
213	CharlieHebdo	Gunmen in Charlie Hebdo Paris Terror Attack Surrounded, Say They Want To 'Die as Martyrs': http://t.co/b4LEZhI0kJ http://t.co/d6HUdLSsrE	NON-RUMOR
214	CharlieHebdo	#charliehebdoattack At least two killed in hostage drama in east of Paris: AFP http://t.co/qAo2JRZZjC	RUMOR
215	CharlieHebdo	Breaking: Gunman linked to 'Charlie Hebdo' shooters takes hostages at kosher grocery store http://t.co/OPZgxUhYlv	RUMOR
216	CharlieHebdo	#BREAKING Reports: 2 dead in Paris kosher supermarket hostage situation http://t.co/VsvZVWiQ19	RUMOR
217	CharlieHebdo	At least two killed in hostage drama east of Paris. Photo @MartinBureau1 #AFP http://t.co/ZvcbbTgvNm	RUMOR
218	CharlieHebdo	Geen idee wat bron is RT @Annabellvdb: #ISIS just claimed responsibility for #CharlieHebdo attack and announced more attacks.	RUMOR
219	CharlieHebdo	A baby is among the hostages at the Paris kosher grocer, @LePoint reports http://t.co/8wOShfY9ew	NON-RUMOR
220	CharlieHebdo	"An official says the suspects in the #CharlieHebdo attack ""want to die as martyrs."" http://t.co/mFQafFjpzP http://t.co/aqKkmDX1Ak"	RUMOR
